Quarter,Number of users in millions
Q4 '19,2498
Q3 '19,2449
Q2 '19,2414
Q1 '19,2375
Q4 '18,2320
Q3 '18,2271
Q2 '18,2234
Q1 '18,2196
Q4 '17,2129
Q3 '17,2072
Q2 '17,2006
Q1 '17,1936
Q4 '16,1860
Q3 '16,1788
Q2 '16,1712
Q1 '16,1654
Q4 '15,1591
Q3 '15,1545
Q2 '15,1490
Q1 '15,1441
Q4 '14,1393
Q3 '14,1350
Q2 '14,1317
Q1 '14,1276
Q4 '13,1228
Q3 '13,1189
Q2 '13,1155
Q1 '13,1110
Q4 '12,1056
Q3 '12,1007
Q2 '12,955
Q1 '12,901
Q4 '11,845
Q3 '11,800
Q2 '11,739
Q1 '11,680
Q4 '10,608
Q3 '10,550
Q2 '10,482
Q1 '10,431
Q4 '09,360
Q3 '09,305
Q2 '09,242
Q1 '09,197
Q3 '08,100
