State,Median income in current U.S. dollars
Massachusetts,86345
Maryland,86223
D.C.,85750
New Hampshire,81346
Hawaii,80108
Washington,79726
Virginia,77151
Utah,77067
New Jersey,74176
Colorado,73034
Connecticut,72812
Minnesota,71817
California,70489
Illinois,70145
Vermont,70066
Oregon,69165
Alaska,68734
Iowa,68718
Nebraska,67575
New York,67274
North Dakota,66505
Delaware,65012
Pennsylvania,64524
Kansas,63938
United States,63179
Wisconsin,62629
Wyoming,62539
Arizona,62283
Rhode Island,62266
Nevada,61864
Missouri,61726
Ohio,61633
Michigan,60449
Indiana,59892
Texas,59785
South Dakota,59463
Idaho,58728
Maine,58663
Montana,57679
South Carolina,57444
Tennessee,56060
Georgia,55821
Florida,54644
Kentucky,54555
Oklahoma,54434
North Carolina,53369
West Virginia,50573
Louisiana,49973
Alabama,49936
Arkansas,49781
New Mexico,48283
Mississippi,42781
