NHL Teams,Twitter followers in millions
NHL - league account,6.17
Chicago Blackhawks,2.49
Toronto Maple Leafs,1.85
Pittsburgh Penguins,1.84
Philadelphia Flyers,1.56
Montreal Canadiens,1.47
Boston Bruins,1.45
New York Rangers,1.44
Detroit Red Wings,1.23
Los Angeles Kings,1.21
Dallas Stars,1.05
Vancouver Canucks,1.05
Buffalo Sabres,0.85
Edmonton Oilers,0.81
San Jose Sharks,0.8
Washington Capitals,0.74
New Jersey Devils,0.72
Tampa Bay Lightning,0.68
Minnesota Wild,0.68
St. Louis Blues,0.66
Calgary Flames,0.61
Anaheim Ducks,0.6
Nashville Predators,0.59
Ottawa Senators,0.58
Winnipeg Jets,0.54
New York Islanders,0.51
Colorado Avalanche,0.47
Columbus Blue Jackets,0.45
Carolina Hurricanes,0.38
Florida Panthers,0.37
Arizona Coyotes,0.35
