Team Name,Average attendance
Chicago Blackhawks,22734
Montreal Canadiens,21046
Philadelphia Flyers,20371
Toronto Maple Leafs,19276
Detroit Red Wings,19120
Tampa Bay Lightning,19092
Minnesota Wild,18907
Pittsburgh Penguins,18565
Washington Capitals,18508
Calgary Flames,18501
Edmonton Oilers,18347
Vegas Golden Knights,18318
Dallas Stars,18178
Vancouver Canucks,18022
Los Angeles Kings,18000
Buffalo Sabres,17908
Boston Bruins,17565
Nashville Predators,17445
St. Louis Blues,17361
New York Rangers,17318
San Jose Sharks,17266
Colorado Avalanche,17132
Anaheim Ducks,16814
Columbus Blue Jackets,16658
Winnipeg Jets,15276
New Jersey Devils,14834
Ottawa Senators,14553
Carolina Hurricanes,14322
Arizona Coyotes,13989
Florida Panthers,13261
New York Islanders,12442
