Country,GDP in billion euros
Germany,3386.0
United Kingdom,2390.19
France,2348.99
Italy,1753.95
Spain*,1206.88
Netherlands*,772.69
Switzerland,597.31
Poland,496.63
Sweden,467.01
Belgium,450.58
Austria,386.09
Norway,368.55
Ireland,318.46
Denmark,297.27
Finland**,223.89
Czechia,207.39
Romania,202.08
Portugal*,201.53
Greece*,184.71
Hungary,131.94
Slovakia,90.2
Luxembourg**,55.3
Bulgaria*,55.18
Croatia,51.47
Slovenia,45.95
Serbia*,42.78
Latvia,29.52
Lithuania,29.52
Estonia,25.66
Iceland**,21.71
Cyprus,20.73
Bosnia & Herzegovina*****,15.29
Malta,12.32
Albania****,11.58
North Macedonia***,10.73
Kosovo**,6.41
Liechtenstein****,5.72
Montenegro***,4.3
