Month,Price in U.S. dollars
Feb 20,223.5
Jan 20,181.73
Dec 19,128.72
Nov 19,153.67
Oct 19,183.37
Sep 19,171.01
Aug 19,168.69
Jul 19,210.08
Jun 19,314.05
May 19,253.27
Apr 19,153.68
Mar 19,141.94
Feb 19,134.82
Jan 19,107.57
Dec 18,131.37
Nov 18,117.01
Oct 18,197.15
Sep 18,235.39
Aug 18,279.18
Jul 18,433.61
Jun 18,451.88
May 18,574.22
Apr 18,683.64
Mar 18,403.83
Feb 18,864.44
Jan 18,1098.36
Dec 17,722.14
Nov 17,459.43
Oct 17,305.35
Sep 17,287.87
Aug 17,345.39
Jul 17,208.73
Jun 17,295.71
May 17,189.83
Apr 17,75.74
Mar 17,50.91
Feb 17,13.08
Jan 17,10.47
Dec 16,8.13
Nov 16,9.46
Oct 16,11.16
Sep 16,13.35
Aug 16,11.2
Jul 16,12.8
Jun 16,14.37
May 16,10.62
Apr 16,7.51
Mar 16,11.12
Feb 16,6.06
Jan 16,2.58
