Ufc Fights,Attendance
Rousey vs Holm (UFC 193),56214
St. Pierre vs Shields (UFC 129),55724
Werdum vs Miocic (UFC 198),45207
Gustafsson vs Johnson (UFC on FOX 14),30000
St. Pierre vs Koscheck 2 (UFC 124),23152
Hunt vs Oleinik (UFC Fight Night 136),22603
Redemption (UFC 97),21451
Serra vs St. Pierre 2 (UFC 83),21390
Velasquez vs Werdum (UFC 188),21036
Werdum vs Hunt (UFC 180),21000
Edgar vs Henderson (UFC 144),21000
Alvarez vs McGregor (UFC 205),20427
St Pierre vs Diaz (UFC 158),20145
Khabib vs McGregor (UFC 229),20034
Hendricks vs Lawler (UFC 171),19324
Uprising (UFC 68),19049
Holloway vs Ortega (UFC 231),19039
Miocic vs Overeem (UFC 203),18785
