Month,Number of days
Dec '19,17.6
Nov '91,17.5
Oct '19,17.4
Sep '19,15.4
Aug '19,15.7
Jul '19,11.0
Jun '19,14.2
May '19,10.8
Apr '19,8.0
Mar '19,16.2
Feb '19,10.5
Jan '19,11.0
Dec '18,15.9
Nov '18,14.7
Oct '18,11.9
Sep '18,12.7
Aug '18,13.2
Jul '18,7.5
Jun '18,5.0
May '18,7.9
Apr '18,13.5
Mar '18,15.5
Feb '18,11.6
Jan '18,18.0
Dec '17,16.9
Nov '17,15.5
Oct '17,13.9
Sep '17,17.7
Aug '17,14.5
Jul '17,14.7
Jun '17,12.9
May '17,9.7
Apr '17,7.4
Mar '17,14.6
Feb '17,13.9
Jan '17,12.5
Dec '16,11.3
Nov '16,13.0
Oct '16,8.5
Sep '16,13.6
Aug '16,11.5
Jul '16,13.0
Jun '16,14.3
May '16,9.6
Apr '16,15.2
Mar '16,12.0
Feb '16,14.0
Jan '16,20.6
Dec '15,22.3
Nov '15,20.8
Oct '15,10.3
Sep '15,8.5
Aug '15,14.2
Jul '15,15.9
Jun '15,9.2
May '15,15.4
Apr '15,8.9
Mar '15,13.0
Feb '15,11.3
Jan '15,18.8
Dec '14,15.7
Nov '14,16.2
Oct '14,17.9
Sep '14,4.9
Aug '14,16.6
Jul '14,10.1
Jun '14,9.4
May '14,15.2
Apr '14,11.2
Mar '14,12.5
Feb '14,20.1
Jan '14,23.4
