Country,Median household income in U.S. dollars
Luxembourg,52493
Norway,51489
Sweden,50514
Australia,46555
Denmark,44360
United States,43585
Canada,41280
South Korea,40861
Kuwait,40854
Netherlands,38584
New Zealand,35562
Hong Kong,35443
Austria,34911
Finland,34615
Japan,33822
Germany,33333
Taiwan,32762
Singapore,32360
United Kingdom,31617
France,31112
Israel,30364
Belgium,26703
Qatar,26555
Slovenia,25969
Ireland,25085
Saudi Arabia,24980
Bahrain,24633
Czech Republic,22913
Spain,21959
Malta,21141
Italy,20085
Cyprus,18242
Greece,17777
Slovakia,17415
Croatia,16231
Portugal,16186
Poland,15338
Belarus,15085
Argentina,14432
Lebanon,13004
Estonia,12577
Hungary,12445
Lithuania,12375
Iran,12046
Russia,11724
Mexico,11680
Montenegro,11519
Ukraine,11074
Latvia,10461
Serbia,8921
