Quarter,Unemployment rate
Q4 '19,13.78%
Q3 '19,13.92%
Q2 '19,14.02%
Q1 '19,14.7%
Q4 '18,14.45%
Q3 '18,14.55%
Q2 '18,15.28%
Q1 '18,16.74%
Q4 '17,16.55%
Q3 '17,16.38%
Q2 '17,17.22%
Q1 '17,18.75%
Q4 '16,18.63%
Q3 '16,18.91%
Q2 '16,20%
Q1 '16,21%
Q4 '15,20.9%
Q3 '15,21.18%
Q2 '15,22.37%
Q1 '15,23.78%
Q4 '14,23.7%
Q3 '14,23.67%
Q2 '14,24.47%
Q1 '14,25.93%
Q4 '13,25.73%
Q3 '13,25.65%
Q2 '13,26.06%
Q1 '13,26.94%
Q4 '12,25.77%
Q3 '12,24.79%
Q2 '12,24.4%
Q1 '12,24.19%
Q4 '11,22.56%
Q3 '11,21.28%
Q2 '11,20.64%
Q1 '11,21.08%
Q4 '10,20.11%
Q3 '10,19.59%
Q2 '10,19.89%
Q1 '10,19.84%
Q4 '09,18.66%
Q3 '09,17.75%
Q2 '09,17.77%
Q1 '09,17.24%
Q4 '08,13.79%
Q3 '08,11.23%
Q2 '08,10.36%
Q1 '08,9.6%
Q4 '07,8.57%
Q3 '07,8.01%
Q2 '07,7.93%
Q1 '07,8.42%
Q4 '06,8.26%
Q3 '06,8.08%
Q2 '06,8.44%
Q1 '06,9.03%
Q4 '05,8.71%
Q3 '05,8.41%
Q2 '05,9.32%
Q1 '05,10.17%
