Month,Number of goals
Harry Kane (England),6
Antoine Griezmann (France),4
Romelu Lukaku (Belgium),4
Denis Cheryshev (Russia),4
Cristiano Ronaldo (Portugal),4
Kylian Mbappe (France),4
Artem Dzyuba (Russia),3
Eden Hazard (Belgium),3
Mario Mandzukic (Croatia),3
Ivan Perisic (Croatia),3
Yerry Mina (Columbia),3
Diego Costa (Spain),3
Edinson Cavani (Uruguay),3
Wahbi Khazri (Tunisia),2
Philippe Coutinho (Brazil),2
Neymar (Brazil),2
Takashi Inui (Japan),2
Luis Suarez (Uruguay),2
Luka Modric (Croatia),2
Mohamed Salah (Egypt),2
Sergio Agüero (Argentina),2
Ahmed Musa (Nigeria),2
Heung-Min Son (South Korea),2
Mile Jedinak (Australia),2
Andreas Granqvist (Sweden),2
John Stones (England),2
