Retail Locations,Annual rent in U.S. dollars per square foot
"Causeway Bay, main street shops (Hong Kong)",2745
"Upper 5th Avenue, 49th-60th Sts (New York)",2250
New Bond Street (London),1714
Avenue des Champs-Elysees (Paris),1478
Via Montenapoleone (Milan),1447
Ginza (Tokyo),1251
Pitt Street Mall (Sydney),1076
Bahnhofstrasse (Zurich),866
Myeongdong (Seoul),862
Kohlmarkt (Vienna),513
Wangfujing (Beijing),471
Kaufinger/Neuhauser (Munich),469
Grafton Street (Dublin),401
Portal de L'Angel (Barcelona),361
Ermou (Athens),361
Orchard Road (Singapore),312
Kalverstraat (Amsterdam),301
Na Prikope street (Prague),298
Stoleshnikov (Moscow),288
Khan Market (New Delhi),243
