Player,Points scored
"Bill Bradley - Princeton vs. Wichita St., 1965",58
"Hal Lear - Temple vs. SMU, 1956",48
"Bill Walton - UCLA vs. Memphis, 1973",44
"Bob Houbregs - Washington vs. LSU, 1953",42
"Gail Goodrich - UCLA vs. Michigan, 1965",42
"Jack Givens - Kentucky vs. Duke, 1978",41
"Oscar Robertson - Cincinnati vs. Louisville, 1959",39
"Al Wood - North Carolina vs. Virginia, 1981",39
"Jerry West - West Virginia vs. Louisville, 1959",38
"Jerry Chambers - Utah vs. UTEP, 1966",38
"Freddie Banks - UNLV vs. Indiana, 1987",38
