Player,Earnings in thousand U.S. dollars
Xyp9x (Andreas Højsleth),1744.92
dupreeh (Peter Rasmussen),1741.72
dev1ce (Nicolai Reedtz),1706.22
gla1ve (Lukas Rossander),1575.88
Magisk (Emil Reif),1335.18
Stewie2k (Jakey Yip),1029.14
TACO (Epitacio de Melo),985.24
FalleN (Gabriel Toledo),981.32
fer (Fernando Alvarenga),975.42
coldzera (Marcelo David),970.58
karrigan (Finn Anderson),926.94
NAF (Keith Markovic),924.57
nitr0 (Nick Cannella),881.85
ELiGE (Jonathan Jablonowski),872.5
olofmeister (Olof Kajbjer),856.16
