Year,Number of tickets sold in millions
2018,1300.4
2017,1239.7
2016,1315.3
2015,1320.2
2014,1268.2
2013,1343.7
2012,1361.5
2011,1283.0
2010,1339.1
2009,1412.7
2008,1341.3
2007,1404.6
2006,1406.0
2005,1379.2
2004,1510.5
2003,1532.3
2002,1575.7
2001,1487.3
2000,1420.8
1999,1465.2
1998,1480.7
1997,1387.7
1996,1338.6
1995,1262.6
1994,1291.7
1993,1244.0
1992,1173.2
1991,1140.6
1990,1188.6
1989,1262.8
1988,1084.8
1987,1088.5
1986,1017.2
1985,1056.1
1984,1199.0
1983,1197.0
1982,1175.0
1981,1067.0
1980,1022.0
