Bank Name And Country,Total assets in billion U.S. dollars
"Industrial & Commercial Bank of China, China",4027.44
"China Construction Bank Corp, China",3376.52
"Agricultural Bank of China, China",3287.36
"Bank of China, China",3092.21
"Mitsubishi UFJ Financial Group, Japan*",2812.88
"JPMorgan Chase & Co, US",2622.53
"HSBC Holdings, UK",2558.12
"Bank of America, US",2354.51
"BNP Paribas, France**",2336.66
"Credit Agricole Group, France",2123.61
"Citigroup Inc, US",1917.38
"Japan Post Bank, Japan",1911.48
"Wells Fargo, US",1895.88
"Sumitomo Mitsui Financial Group, Japan***",1848.2
"Muzuho Financial Group Inc, Japan",1837.8
