State,"Burglary rate per 100,000 inhabitants"
New Mexico,767.8
Mississippi,697.8
Oklahoma,681.1
Louisiana,668.1
Arkansas,636.8
North Carolina,599.9
Alabama,590.1
Nevada,584.7
South Carolina,579.7
Alaska,539.6
Washington,533.5
Tennessee,489.4
Missouri,444.9
Arizona,439.7
Georgia,431.3
Kansas,430.6
California,416.2
Ohio,412.2
Texas,410.8
Hawaii,396.4
Oregon,389.1
Kentucky,384.7
Indiana,377.6
United States,376.0
Colorado,375.2
North Dakota,358.4
Iowa,352.6
Florida,337.7
Delaware,326.5
Michigan,316.6
Utah,315.3
Maryland,312.6
Illinois,306.7
Montana,306.6
West Virginia,296.5
South Dakota,291.4
Minnesota,288.4
Idaho,281.6
Nebraska,271.9
Rhode Island,265.8
Wyoming,264.0
District of Columbia,254.5
Wisconsin,242.5
Vermont,234.2
Connecticut,222.5
New Jersey,215.9
Pennsylvania,211.6
Maine,202.7
Massachusetts,200.8
Virginia,182.8
New York,159.3
New Hampshire,136.2
