Fastest growing metropolitan areas ,Percent change in population
"Austin-Round Rock, TX",26.34%
"Orlando-Kissimmee-Sanford, FL",20.55%
"Raleigh, NC",20.53%
"Charleston-North Charleston, SC",18.51%
"Houston-The Woodlands-Sugar Land, TX",18.19%
"San Antonio-New Braunfels, TX",17.53%
"Dallas-Fort Worth-Arlington, TX",17.33%
"North Port-Sarasota-Bradenton, FL",16.99%
"Charlotte-Concord-Gastonia, NC-SC",15.89%
"Phoenix-Mesa-Scottsdale, AZ",15.86%
"Nashville-Davidson--Murfreesboro--Franklin, TN",15.56%
"Denver-Aurora-Lakewood, CO",15.29%
"Seattle-Tacoma-Bellevue, WA",14.52%
"Las Vegas-Henderson-Paradise, NV",14.37%
"Jacksonville, FL",14.05%
"Tampa-St. Petersburg-Clearwater, FL",12.91%
"Atlanta-Sandy Springs-Roswell, GA",12.55%
"Salt Lake City, UT",12.38%
"McAllen-Edinburg-Mission, TX",11.77%
"Oklahoma City, OK",11.45%
