Beverage companies,Sales in million U.S. dollars
Anheuser-Busch InBev,54619
Nestlé SA,38737
The Coca-Cola Co.,31856
PepsiCo Inc.,29744
Heineken N.V.,25115
Suntory Holdings LTD,22844
Starbucks Corp.,19690
Diageo PLC,15853
Unilever Group§,12874
Molson Coors Brewing Co.,10770
Pernod Ricard,10044
Constellation Brands Inc.,7585
Keurig Dr Pepper,7442
Red Bull GmbH*,7297
Abbott Laboratories,7229
Bacardi Ltd.*,6278
LVMH Louis Vuitton Moet Hennessy,5748
Jacobs Douwe Egberts*,5226
Danone Group^,4972
The Wonderful Co.*+,4620
E. & J. Gallo Winery*,4495
Ito En Group,4486
Campbell Soup Co.§§,4213
Monster Beverage Corp.,3807
Brown-Forman Corp.,3248
Hormel Foods LLC++,2521
Cott Corp.,2373
Niagara Bottling LLC*,2231
J. M. Smucker Co.,2100
Britvic PLC*,1966
Davide Campari,1914
Treasury Wine Estates,1702
D.G. Yuengling & Son Inc.*,1664
Lassonde Industries Inc.*,1594
Blue Diamond Growers,1567
AriZona Beverage Co.*,1340
Glanbia PLC^^,1330
The Wine Group*,1130
Ocean Spray Cranberries Inc.*,1027
National Beverage Corp.,1018
The Boston Beer Co. Inc.,996
Living Essentials LLC*,966
Vina Concha y Toro S.A.*,953
Trinchero Family Estates,900
Peet's Coffee & Tea Inc.*,870
Talking Rain Beverage Co.*,863
Rockstar Inc.,765
Ste. Michelle Wine Estates*,761
Freixenet SA*,755
Mast-Jägermeister SE,684
