Metropolitan statistical area,"Rate per 100,000 population"
"Anchorage, AK",200.1
"Rapid City, SD",130.9
"St. Joseph, MO-KS",129.4
"Jackson, MI",127.2
"Danville, IL",120.7
"Farmington, NM",120.0
"Battle Creek, MI",114.8
"Pueblo, CO",111.0
"Niles, MI",99.9
"Lincoln, NE",96.1
"Gainesville, FL",95.5
"Spokane-Spokane Valley, WA",94.9
"Watertown-Fort Drum, NY",94.9
"Bay City, MI",94.3
"Colorado Springs, CO",93.4
"Detroit-Dearborn-Livonia, MI",90.5
"Casper, WY",90.4
"Grand Rapids-Kentwood, MI",89.8
"Kalamazoo-Portage, MI",89.0
"Muskegon, MI",88.4
"Lansing-East Lansing, MI",88.4
"Amarillo, TX",88.3
"Springfield, MO",87.8
"Fayetteville-Springdale-Rogers, AR",86.6
"Mansfield, OH",84.9
"Flint, MI",83.3
"Saginaw, MI",83.2
"San Angelo, TX",83.1
"Las Vegas-Henderson-Paradise, NV",82.9
"Lubbock, TX",82.2
"Columbus, IN",80.9
"Corpus Christi, TX",79.4
"Lawton, OK",79.2
"Carson City, NV",78.8
"Jonesboro, AR",77.7
"Monroe, MI",77.5
"Waco, TX",77.4
"Odessa, TX",77.0
"Redding, CA",76.6
"Utica-Rome, NY",76.2
"Wichita, KS",75.8
"Rockford, IL",75.2
"Blacksburg-Christiansburg, VA",74.7
"Fairbanks, AK",74.1
"Longview, WA",74.1
"Victoria, TX",73.9
"Salt Lake City, UT",73.8
"Tallahassee, FL",73.1
"Wichita Falls, TX",73.0
"Fort Smith, AR-OK",72.4
