Month,Number of completed house sales
Dec '18,65151
Nov '18,80286
Oct '18,77473
Sep '18,70795
Aug '18,87950
Jul '18,77314
Jun '18,82604
May '18,71033
Apr '18,62117
Mar '18,71890
Feb '18,61770
Jan '18,60308
Dec '17,81181
Nov '17,81262
Oct '17,81518
Sep '17,82506
Aug '17,87242
Jul '17,81136
Jun '17,89018
May '17,73109
Apr '17,65808
Mar '17,78295
Feb '17,63887
Jan '17,60554
Dec '16,84186
Nov '16,78181
Oct '16,74782
Sep '16,80168
Aug '16,83777
Jul '16,81976
Jun '16,78071
May '16,63304
Apr '16,55412
Mar '16,125046
Feb '16,68339
Jan '16,62780
Dec '15,84495
Nov '15,82925
Oct '15,92632
Sep '15,83993
Aug '15,85875
Jul '15,94252
Jun '15,85909
May '15,75812
Apr '15,65541
Mar '15,68555
Feb '15,60419
Jan '15,59092
