Waterpark Location,Attendance in millions
"Typhoon Lagoon, Orlando",2.27
"Blizzard Beach, Orlando",2.0
Universal's Volcano Bay,1.73
"Aquatica, Orlando",1.56
"Schlitterbahn, New Braunfels",1.02
"Water Country USA, Williamsburg",0.73
"Adventure Island, Tampa",0.67
"Aquatica, San Antonio",0.65
"Schlitterbahn, Galveston",0.56
"Splish-Splash, Calverton",0.54
"Six Flags Hurricane Harbor, Arlington",0.53
"Six Flags White Water, Marietta",0.53
"Six Flags Hurricane Harbor, Jackson",0.48
"Typhoon, Texas",0.45
"Zoombezi Bay, Powell",0.44
"Camelbeach, Tannersville",0.44
"Dollywood's Splash Country, Pigeon Ford",0.44
"Cedar Point Shores, Sandusky",0.42
"Knott's Soak City, Buena Park",0.41
"Wet'n'Wild Emerald Point, Greensboro",0.4
