Baseball Club,Beer price in U.S. dollars
New York Mets (20),11.0
Chicago Cubs (16),9.5
Washington Nationals (16),9.0
Boston Red Sox (12),8.5
San Francisco Giants (14),8.25
Chicago White Sox (16),7.0
Houston Astros (14),6.5
Cincinnati Reds (14),6.5
Los Angeles Dodgers (16),6.25
Philadelphia Phillies (12),6.0
San Diego Padres (12),6.0
Oakland Athletics (12),6.0
New York Yankees (12),6.0
Pittsburgh Pirates (16),6.0
Texas Rangers (16),6.0
MLB league average (14),5.97
Toronto Blue Jays (16),5.63
Seattle Mariners (12),5.0
Miami Marlins (12),5.0
Los Angeles Angels (12),5.0
St. Louis Cardinals (12),5.0
Detroit Tigers (12),5.0
Tampa Bay Rays (12),5.0
Cleveland Indians (12),5.0
Minnesota Twins (12),5.0
Atlanta Braves (12),5.0
Milwaukee Brewers (12),5.0
Kansas City Royals (12),4.0
Arizona Diamondbacks (14),4.0
Baltimore Orioles (12),4.0
Colorado Rockies (12),3.0
