Places To Visit,Visitors (in millions)
"Times Square, New York",35.0
"National Mall & Memorial Park, Washington D.C.",25.0
"Disney World's Magic Kingdom, Florida",16.6
"Trafalgar Square, London",15.0
"Disneyland Park, Anaheim, California",14.7
"Niagarafälle, Ontario and New York",14.0
"Fisherman's Warf/ Golden Gate Bridge, San Francisco",13.0
"Tokyo Disneyland/ Disney Sea, Tokyo",12.9
Notre Dame de Paris,12.0
"Disneyland Paris, Marne-La-Vallee",10.6
"The Great Wall of China, Badaling",10.0
"The Great Smoky Mountain Nationalpark, Tennessee",9.2
"Universal Studios, Osaka",8.5
"Basilique du Sacré-Cœur de Montmartre, Paris",8.0
"Musée de Louvre, Paris",7.5
"Everland, South Korea",7.5
"The Forbidden City, Beijing",7.0
"The Eiffel Tower, Paris",6.7
"Universal Studios/ Island of Adventure, Orlando",6.0
"Sea World, Orlando",5.7
