State,Percentage of single-person households
District of Columbia,45.6
North Dakota,32.0
Rhode Island,31.5
Vermont,31.3
West Virginia,31.1
Ohio,31.1
New Mexico,31.1
Maine,30.8
Louisiana,30.6
Montana,30.0
New York,29.9
Alabama,29.9
Pennsylvania,29.9
Missouri,29.7
Iowa,29.6
Illinois,29.6
Michigan,29.6
Mississippi,29.6
Nebraska,29.6
Wisconsin,29.5
Nevada,29.4
South Dakota,29.2
Kansas,29.2
Wyoming,29.1
Connecticut,29.1
Massachusetts,29.0
Florida,29.0
South Carolina,29.0
Delaware,28.9
Indiana,28.9
Minnesota,28.7
North Carolina,28.5
Arkansas,28.2
Kentucky,28.1
Colorado,28.1
Tennessee,28.0
Oklahoma,28.0
New Hampshire,27.6
Georgia,27.5
Virginia,27.5
Oregon,27.3
Maryland,27.3
Arizona,27.0
Washington,26.2
Alaska,26.0
New Jersey,26.0
Texas,25.5
Idaho,25.4
Hawaii,24.5
California,24.0
Utah,19.4
