City,"Birth rate (births per 1,000 population)"
"Hinesville, GA",20.36
"Jacksonville, NC",19.77
"Provo-Orem, UT",19.43
"Laredo, TX",18.22
"Logan, UT-ID",17.42
"Clarksville, TN-KY",17.05
"McAllen-Edinburg-Mission, TX",16.82
"Odessa, TX",16.73
"Watertown-Fort Drum, NY",16.63
"Midland, TX",16.46
"Idaho Falls, ID",16.16
"Fayetteville, NC",15.99
"Fairbanks, AK",15.96
"Killeen-Temple, TX",15.92
"El Centro, CA",15.68
"Ogden-Clearfield, UT",15.57
"Brownsville-Harlingen, TX",15.44
"Yakima, WA",15.38
"Visalia-Porterville, CA",14.96
"Bakersfield, CA",14.96
"Salt Lake City, UT",14.96
"Fresno, CA",14.9
"Elkhart-Goshen, IN",14.86
"Madera, CA",14.82
"Yuba City, CA",14.78
"El Paso, TX",14.74
"Merced, CA",14.71
"Hanford-Corcoran, CA",14.7
"Twin Falls, ID",14.68
"Kennewick-Richland, WA",14.66
"Sioux Falls, SD",14.49
"Enid, OK",14.48
"Hammond, LA",14.45
"Anchorage, AK",14.4
"Lake Charles, LA",14.38
"Fargo, ND-MN",14.3
"Grand Island, NE",14.2
"Houston-The Woodlands-Sugar Land, TX",14.15
"Greeley, CO",14.09
"Yuma, AZ",14.05
"Modesto, CA",14.04
"Omaha-Council Bluffs, NE-IA",14.02
"Lawton, OK",14.01
"Bismarck, ND",13.91
"Abilene, TX",13.89
"Grand Forks, ND-MN",13.87
"Sioux City, IA-NE-SD",13.86
"Salinas, CA",13.79
"Des Moines-West Des Moines, IA",13.77
"Fayetteville-Springdale-Rogers, AR-MO",13.73
