Month,Total earnings in million U.S. dollars
Conor McGregor,12.02
Alistair Overeem,8.7
Anderson Silva,8.11
Michael Bisping,7.14
Georges St-Pierre,7.04
Mark Hunt,6.3
Jon Jones,5.95
Donald Cerrone,5.5
Vitor Belfort,5.46
Daniel Cormier,5.29
Junior dos Santos,5.14
Brock Lesnar,5.08
Andrei Arlovski,4.77
Rashad Evans,4.74
Lyoto Machida,4.59
Mauricio 'Shogun' Rua,4.54
Dan Henderson,4.4
Chuck Liddell,4.38
Ronda Rousey,4.28
Tito Ortiz,4.14
Nate Diaz,4.1
Frankie Edgar,4.06
Tyron Woodley,3.97
Fabricio Werdum,3.88
Jose Aldo,3.81
Stipe Miocic,3.65
Chris Weidman,3.65
Robbie Lawler,3.6
Demetrious Johnson,3.54
Frank Mir,3.51
