Football Clubs,Soccer Power Index
Manchester City,94.9
Liverpool,94.0
Bayern Munich,93.1
Real Madrid,90.3
Barcelona,90.0
Paris Saint-Germain,88.7
RB Leipzig,88.0
Borussia Dortmund,86.0
Chelsea,85.6
Atletico Madrid,84.8
Juventus,83.6
Manchester United,82.6
Atalanta,81.7
Sevilla FC,81.4
Wolverhampton Wanderers,81.3
Leicester City,81.0
Bayer Leverkusen,80.9
Getafe,80.4
Internazionale,80.2
Tottenham Hotspur,79.1
Everton,78.9
Ajax,77.8
Arsenal,77.1
Real Sociedad,77.1
Lazio,77.0
Zenit St. Petersburg,76.7
RB Salzburg,76.6
AS Roma,75.9
FC Porto,75.6
Napoli,75.6
Borussia Mönchengladbach,75.3
Olympiacos,74.1
Benfica,74.0
Villarreal,73.8
Sheffield United,73.7
Lyon,73.2
AC Milan,72.8
VfL Wolfsburg,72.6
Eintracht Frankfurt,72.2
Real Betis,72.0
Southampton,72.0
Flamengo,71.7
Club Brugge,70.8
Celtic,70.7
Brighton & Hove Albion,70.7
Athletic Bilbao,70.6
Shakhtar Donetsk,70.2
Burnley,70.2
Watford,70.1
1. FC Köln,70.1
