Brand/Segment,Sales in million U.S. dollars
Neutrogena/ makeup remover implements,129.0
CoverGirl Last Blast/ mascara,57.1
Revlon Super Lustrous/ lipstick,55.9
L'Oréal Voluminous/ mascara,55.5
Maybelline Volum'Express Falsies/ mascara,51.8
CoverGirl Clean/ powder,51.8
Revlon ColorStay/ foundation,50.6
Maybelline Great Lash/ mascara,49.4
CoverGirl Outlast/ lipstick,48.5
CoverGirl Clean/ foundation,48.1
Revlon ColorStay/ eyeliner,47.3
L'Oréal True Match/ foundation,45.8
L'Oréal Colour Riche/ lipstick,45.5
CoverGirl Perfect Point Plus/ eyeliner,43.1
Maybelline Volum'Express Colossal/ mascara,41.8
Maybelline Color Sensational/ lipstick,38.5
L'Oréal True Match/ powder,36.8
Maybelline Expert Wear/ eyeshadow,35.7
Maybelline Volum'Express Rocket/ mascara,35.0
CoverGirl Eye Enhancers/ eyeshadow,34.5
