App Categories,Penetration rate among Android users
Tools,99.81%
Communication,99.39%
Business,99.33%
Video Players & Edit,96.63%
Travel & Local,95.7%
Social,95.02%
Productivity,91.67%
Music & Audio,88.38%
Entertainment,83.85%
News & Magazines,81.11%
Photography,75.77%
Books & Reference,70.74%
Lifestyle,65.67%
Personalization,61.62%
Games - Casual,58.86%
Games - Puzzle,56.5%
Games - Arcade,55.08%
Shopping,35.79%
Games - Action,34.19%
Weather,32.46%
Games - Racing,30.83%
Sports,30.44%
Education,29.28%
Finance,25.75%
Health & Fitness,23.17%
Media & Video,19.49%
Maps & Navigation,18.67%
Games - Strategy,15.65%
Games - Card,15.35%
Games - Board,14.95%
Games - Adventure,14.82%
Games - Action & Adventure,13.62%
Games - Word,13.61%
Games - Simulation,13.19%
Games - Casino,10.39%
Food & Drink,8.18%
Games - Role Playing,8.11%
Games - Trivia,7.84%
Games - Brain Games,7.39%
Creativity,6.47%
Medical,6.2%
Comics,5.74%
Games - Educational,5.38%
Art & Design,5.19%
Games - Pretend Play,5.13%
Libraries & Demo,3.95%
Music,3.87%
House & Home,3.71%
Games - Arcade & Action,3.39%
Dating,2.37%
Beauty,2.23%
Music & Video,2.06%
Auto & Vehicles,2.03%
Games - Brain & Puzzle,1.69%
Events,1.43%
Transportation,1.04%
Family,0.91%
Games - Sports Games,0.57%
Parenting,0.52%
Games - Cards & Casino,0.48%
