Domestic industries,Profits in billion U.S. dollars
Other nonfinancial,446.3
Other financial,383.4
Information,156.4
Retail trade,154.1
Wholesale trade,104.2
Federal Reserve banks,64.9
Other durable goods,56.4
Transportation and warehousing,55.6
Food and beverage and tobacco products,50.5
Chemical products,45.8
Computer and electronic products,38.2
Other nondurable goods,31.0
Fabricated metal products,22.3
Machinery,15.4
"Motor vehicles, bodies and trailers, and parts",10.0
Petroleum and coal products,9.4
"Electrical equipment, appliances, and components",3.2
Utilities,-2.1
