Organisation,Budget authority in million U.S. dollars
Federal Emergency Management Agency,28708.82
U.S. Customs and Border Protection,20850.39
U.S. Coast Guard,11339.98
U.S. Immigration and Customs Enforcement,9308.59
Transportation Security Administration,7785.63
United States Citizenship and Immigration Services,4840.41
Cybersecurity and Infrastructure Security Agency,3168.08
U.S. Secret Service,2573.98
Management Directorate,1698.6
Science and Technology Directorate,582.12
Countering Weapons of Mass Destruction,423.16
Federal Law Enforcement Training Centers,350.94
Analysis and Operations,276.64
Office of Inspector General,170.19
