Country,Ranking points
Belgium,1752
France,1725
Brazil,1719
England,1662
Portugal,1643
Uruguay,1639
Spain,1631
Croatia,1625
Colombia,1622
Argentina,1614
Switzerland,1604
Mexico,1603
Netherlands,1586
Denmark,1584
Italy,1583
Germany,1580
Chile,1576
Sweden,1560
Peru,1551
Senegal,1546
USA,1545
Poland,1532
Wales,1522
Iran,1522
Ukraine,1516
Venezuela,1506
Austria,1503
Republic of Ireland,1496
Tunisia,1496
Slovakia,1490
Romania,1490
Japan,1490
Northern Ireland,1488
Nigeria,1482
Serbia,1476
Turkey,1475
Korea Republic,1470
Algeria,1466
Morocco,1463
Paraguay,1462
Iceland,1461
Russia,1455
Costa Rica,1442
Czech Republic,1441
Australia,1441
Bosnia and Herzegovina,1438
Norway,1435
Jamaica,1435
Egypt,1431
Hungary,1430
