State,Sales in billion U.S. dollars
New York,9.69
California,6.28
Florida,6.06
Massachusetts,5.22
Texas,5.07
Georgia,4.56
Pennsylvania,4.14
Ohio,3.93
New Jersey,3.29
Michigan,3.1
Maryland,3.05
Illinois,2.86
North Carolina,2.38
Virginia,2.01
Tennessee,1.63
South Carolina,1.6
Missouri,1.32
Oregon,1.23
Connecticut,1.23
Indiana,1.21
West Virginia,1.14
Kentucky,1.0
Rhode Island,0.88
Arizona,0.87
Washington,0.69
Delaware,0.63
Wisconsin,0.63
Minnesota,0.59
Colorado,0.59
Louisiana,0.51
Arkansas,0.46
Iowa,0.37
New Hampshire,0.3
Kansas,0.27
Maine,0.27
South Dakota,0.26
Idaho,0.24
District of Columbia,0.23
Oklahoma,0.19
Nebraska,0.18
New Mexico,0.15
Vermont,0.12
Montana,0.06
North Dakota,0.04
Wyoming,0.03
