Regions in China,CPI (the same month last year = 100)
Guangdong,106.6%
Hainan,106.3%
Shandong,106.2%
Yunnan,106.1%
Sichuan,106.1%
Guangxi,105.9%
Henan,105.8%
Jilin,105.7%
Anhui,105.7%
Liaoning,105.5%
Shanxi,105.5%
Hubei,105.5%
National total,105.4%
Jiangsu,105.4%
Heilongjiang,105.3%
Jiangxi,105.1%
Guizhou,105.1%
Hebei,105.1%
Fujian,104.9%
Chongqing,104.9%
Shaanxi,104.9%
Hunan,104.8%
Zhejiang,104.7%
Tianjin,104.6%
Beijing,104.5%
Inner Mongolia,104.3%
Shanghai,104.3%
Qinghai,104.1%
Xinjiang,103.7%
Gansu,103.5%
Ningxia,103%
Tibet,103%
