Industry Sector,Share of responding businesses
"Personal services (e.g. beauty and wellness, repair of household goods)",17%
"Professional services (e.g., financial services, consulting, travel agents, business services)",17%
Retail or wholesale (incl. online shops),16%
Other,13%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",7%
Restaurant/café or other food services,5%
"Education (e.g., schools, tutoring, driving school)",5%
Construction or home repair,3%
Non-profit/charity organization,3%
Manufacturing,3%
"Healthcare (e.g., dentist, senior care)",2%
Automotive repair or services,2%
"Accommodation (e.g., hotels, camping grounds)",2%
"Transportation or storage (e.g., taxi, warehousing)",2%
"Real estate (e.g., brokerage, leasing, management)",0%
