Metropolitan Area,Per capita Real GDP in chained (2009) U.S. dollars
"Midland, TX",197509
"San Jose-Sunnyvale-Santa Clara, CA",159570
"San Francisco-Oakland-Berkeley, CA",105127
"Seattle-Tacoma-Bellevue, WA",90284
"Wheeling, WV-OH",84952
"Boston-Cambridge-Newton, MA-NH",84682
"Durham-Chapel Hill, NC",84088
"Bridgeport-Stamford-Norwalk, CT",82591
"Odessa, TX",79228
"Lake Charles, LA",77951
"Boulder, CO *",77648
"Washington-Arlington-Alexandria, DC-VA-MD-WV *",77551
"Trenton-Princeton, NJ",76957
"Columbus, IN",76892
"New York-Newark-Jersey City, NY-NJ-PA",76689
"Hartford-East Hartford-Middletown, CT",74218
"Lima, OH",73629
"Longview, TX",73253
"Napa, CA",71726
"Los Angeles-Long Beach-Anaheim, CA",70802
"Madison, WI",70454
"Beaumont-Port Arthur, TX",68808
"Des Moines-West Des Moines, IA",67868
"Salt Lake City, UT",67427
"Wausau-Weston, WI",67247
"Denver-Aurora-Lakewood, CO *",66145
"San Diego-Chula Vista-Carlsbad, CA",65611
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",65395
"Casper, WY",65361
"Minneapolis-St. Paul-Bloomington, MN-WI",65343
"Baltimore-Columbia-Towson, MD",65325
"Greeley, CO *",65323
"Sioux Falls, SD",64913
"Chicago-Naperville-Elgin, IL-IN-WI",64393
"Norwich-New London, CT",64040
"Manhattan, KS",63940
"Kokomo, IN",63780
"Houston-The Woodlands-Sugar Land, TX",63643
"Cedar Rapids, IA",63372
"San Angelo, TX",63325
"Oxnard-Thousand Oaks-Ventura, CA",62798
"Harrisburg-Carlisle, PA",62485
"Santa Maria-Santa Barbara, CA",62384
"Urban Honolulu, HI",62338
"Decatur, IL",62299
"Dallas-Fort Worth-Arlington, TX",62188
"Peoria, IL",62086
"Austin-Round Rock-Georgetown, TX",61991
"Baton Rouge, LA",61952
"Bloomington, IL",61831
"Rocky Mount, NC",61707
"Manchester-Nashua, NH",61445
"Nashville-Davidson--Murfreesboro--Franklin, TN",60990
"Indianapolis-Carmel-Anderson, IN",60860
"Portland-Vancouver-Hillsboro, OR-WA",60522
"Atlanta-Sandy Springs-Alpharetta, GA",60043
"Bellingham, WA",59888
"Omaha-Council Bluffs, NE-IA",59652
"Pittsburgh, PA",59538
"Salinas, CA",59309
"Albany-Schenectady-Troy, NY",59295
"Ann Arbor, MI",59208
"Midland, MI",59098
"Ames, IA",58946
"Milwaukee-Waukesha, WI",58726
"California-Lexington Park, MD",58681
"Jackson, TN",58601
"Elkhart-Goshen, IN",58565
"Carson City, NV",58472
"New Orleans-Metairie, LA",58421
"Barnstable Town, MA",58384
"Mount Vernon-Anacortes, WA",58261
"San Luis Obispo-Paso Robles, CA",58225
"Sheboygan, WI",58032
"Cleveland-Elyria, OH",58010
"Richmond, VA *",57929
"Toledo, OH",57800
"Green Bay, WI",57790
"Rochester, MN",57694
"Williamsport, PA",57452
"Charleston, WV",57334
"Charlotte-Concord-Gastonia, NC-SC",57144
"Santa Rosa-Petaluma, CA",57138
"Fairbanks, AK *",57129
"Cincinnati, OH-KY-IN",57068
"Oklahoma City, OK",57051
"Billings, MT",56740
"Anchorage, AK",56616
"Syracuse, NY",56446
"Kansas City, MO-KS",56176
"New Haven-Milford, CT",56039
"Burlington-South Burlington, VT",56008
"Raleigh-Cary, NC",55872
"Kahului-Wailuku-Lahaina, HI",55863
"Enid, OK",55681
"Bakersfield, CA",55605
"Detroit-Warren-Dearborn, MI",55168
"Iowa City, IA",54980
"Sacramento-Roseville-Folsom, CA",54856
"Columbus, OH",54438
