State,"Rate per 100,000 inhabitants"
District of Columbia,22.8
Louisiana,11.4
Missouri,9.9
Maryland,8.1
New Mexico,8.0
Alabama,7.8
South Carolina,7.7
Tennessee,7.4
Arkansas,7.2
Illinois,6.9
Nevada,6.7
Indiana,6.5
Alaska,6.4
Pennsylvania,6.1
Georgia,6.1
North Carolina,6.0
Mississippi,5.7
Michigan,5.5
Kentucky,5.5
Florida,5.2
Oklahoma,5.2
Arizona,5.1
Delaware,5.0
United States,5.0
Ohio,4.8
Virginia,4.6
Texas,4.6
California,4.4
Kansas,3.9
West Virginia,3.7
Colorado,3.7
New Jersey,3.2
Montana,3.2
Washington,3.1
Wisconsin,3.0
New York,2.9
Hawaii,2.5
North Dakota,2.4
Nebraska,2.3
Connecticut,2.3
Wyoming,2.3
Idaho,2.0
Massachusetts,2.0
Oregon,2.0
Minnesota,1.9
Utah,1.9
Maine,1.8
Iowa,1.7
Vermont,1.6
New Hampshire,1.5
Rhode Island,1.5
South Dakota,1.4
