State,"New cases per 100,000 population"
Nevada,6.8
Alaska,9.0
Maine,9.2
Washington,10.4
District of Columbia,10.5
Michigan,10.6
Oregon,10.9
Idaho,10.9
Utah,10.9
Wyoming,11.5
Rhode Island,11.6
New Jersey,11.7
New York,11.8
California,11.9
Indiana,12.0
Pennsylvania,12.5
Colorado,12.6
Connecticut,12.7
Arizona,13.0
West Virginia,13.1
Ohio,13.3
Illinois,14.1
Virginia,14.2
New Hampshire,14.6
Maryland,14.9
Nebraska,15.5
Wisconsin,15.6
Minnesota,15.9
Kansas,15.9
North Dakota,16.0
Kentucky,16.1
New Mexico,16.3
Tennessee,16.6
United States,16.7
Missouri,16.8
Montana,17.0
Massachusetts,17.4
Delaware,17.9
Vermont,19.4
North Carolina,20.9
Texas,21.1
Hawaii,21.4
Georgia,22.0
Oklahoma,23.5
Iowa,24.8
Alabama,26.4
Florida,27.2
Arkansas,27.3
Louisiana,29.1
South Carolina,33.4
South Dakota,35.4
Mississippi,39.8
