State,"Property crime per 100,000 inhabitants"
District of Columbia,4373.8
New Mexico,3419.7
Alaska,3300.5
Louisiana,3276.0
South Carolina,3017.6
Washington,2946.2
Arkansas,2913.0
Oregon,2894.0
Oklahoma,2875.0
Hawaii,2870.3
Tennessee,2825.4
Alabama,2817.2
Arizona,2676.8
Colorado,2671.6
Missouri,2647.1
Kansas,2633.9
Georgia,2573.7
Montana,2496.3
North Carolina,2494.1
Nevada,2438.2
Mississippi,2403.0
California,2380.4
Utah,2377.5
Texas,2367.2
Delaware,2324.4
Florida,2281.8
United States,2199.5
Indiana,2179.3
Ohio,2177.1
Nebraska,2079.9
North Dakota,2040.2
Maryland,2033.3
Minnesota,1993.8
Kentucky,1962.6
Illinois,1932.8
Wyoming,1785.1
South Dakota,1728.7
Iowa,1691.5
Connecticut,1681.0
Virginia,1665.8
Rhode Island,1660.9
Michigan,1653.5
Wisconsin,1559.9
Pennsylvania,1489.9
West Virginia,1485.6
Idaho,1461.4
New York,1440.5
New Jersey,1404.9
Maine,1357.8
Vermont,1283.1
Massachusetts,1263.3
New Hampshire,1248.5
