Telecom Name,Turnover in billion NOK
Norsk Hydro ASA,160.91
Telenor ASA,110.43
Helse Sør-Øst RHF,81.76
Equinor ASA,79.59
Odd Reitan Private Holding AS,72.04
Reitangruppen AS,72.04
Rema 1000 AS,54.36
Coop Norge SA,49.3
The Resource Group Trg AS,42.18
Aker ASA,42.16
Orkla ASA,40.84
Norwegian Air Shuttle ASA,40.27
Norsk Tipping AS,38.13
Veidekke ASA,35.67
Total E&P Norge AS,35.09
Atea ASA,34.71
Esso Norge AS,31.06
Axis-Shield AS,30.58
Exxonmobil Exploration And Production Norway AS,30.24
Laco AS,29.54
