State,Percentage of state population
Puerto Rico,98.7%
New Mexico,49.1%
Texas,39.6%
California,39.3%
Arizona,31.6%
Nevada,29%
Florida,26.1%
Colorado,21.7%
New Jersey,20.6%
New York,19.2%
Illinois,17.3%
Connecticut,16.5%
Rhode Island,15.9%
Utah,14.2%
Oregon,13.3%
Washington,12.9%
Idaho,12.7%
Massachusetts,12.3%
Kansas,12%
District of Columbia,11.3%
Nebraska,11.1%
Oklahoma,10.9%
Hawaii,10.7%
Maryland,10.4%
Wyoming,10%
Georgia,9.7%
North Carolina,9.6%
Virginia,9.5%
Delaware,9.5%
Pennsylvania,7.6%
Arkansas,7.6%
Alaska,7.2%
Indiana,7.1%
Wisconsin,6.9%
Iowa,6.1%
South Carolina,5.8%
Tennessee,5.5%
Minnesota,5.5%
Michigan,5.2%
Louisiana,5.1%
Alabama,4.3%
Missouri,4.1%
Ohio,3.9%
South Dakota,3.9%
Montana,3.9%
New Hampshire,3.9%
Kentucky,3.6%
North Dakota,3.6%
Mississippi,2.9%
Vermont,2%
Maine,1.7%
West Virginia,1.4%
