Footballer Names,Goals scored
Cristiano Ronaldo,128
Lionel Messi,114
Raúl Gonzalez,71
Karim Benzema,64
Robert Lewandowski,63
Ruud van Nistelrooy,60
Andriy Shevchenko,59
Thierry Henry,51
Filippo Inzaghi,50
Alfredo Di Stefano,49
Zlatan Ibrahimovic,49
Eusébio,47
Sergio Agüero,45
Didier Drogba,44
Thomas Müller,43
Alessandro Del Piero,43
Fernando Morientes,39
Ferenc Puskás,35
Gerd Müller,34
Wayne Rooney,34
Edinson Cavani,34
Samuel Eto'o,33
Francisco Gento,32
David Trezeguet,32
Neymar,32
Arjen Robben,32
Serhiy Rebrov,31
Rivaldo,31
Patrick Kluivert,30
Ryan Giggs,30
Kaka,30
Steven Gerrard,30
