Program (date),Audience in millions
Fifa World Cup: Croatia vs England (July 11),20.73
Fifa World Cup: Sweden vs England (July 07),17.4
Fifa World Cup: Columbia vs England (July 03),17.22
Fifa World Cup: Tunisia vs England (June 18),16.87
Bodyguard (September 23),14.34
I'm a Celebrity..... (November 18),13.69
Fifa World Cup: England vs Belgium (June 28),13.64
Fifa World Cup: England vs Panama (June 24),12.89
Strictly come dancing (December 15),12.86
Fifa World Cup: France vs Belgium (June 10),12.68
