Quarter,Revenue in billion U.S. dollars
Q4 '19,87.44
Q3 '19,69.98
Q2 '19,63.4
Q1 '19,59.7
Q4 '18,72.38
Q3 '18,56.58
Q2 '18,52.89
Q1 '18,51.04
Q4 '17,60.5
Q3 '17,43.74
Q2 '17,37.96
Q1 '17,35.71
Q4 '16,43.74
Q3 '16,32.71
Q2 '16,30.4
Q1 '16,29.13
Q4 '15,35.75
Q3 '15,25.36
Q2 '15,23.19
Q1 '15,22.72
Q4 '14,29.33
Q3 '14,20.58
Q2 '14,19.34
Q1 '14,19.74
Q4 '13,25.59
Q3 '13,17.09
Q2 '13,15.7
Q1 '13,16.07
Q4 '12,21.27
Q3 '12,13.81
Q2 '12,12.83
Q1 '12,13.19
Q4 '11,17.43
Q3 '11,10.88
Q2 '11,9.91
Q1 '11,9.86
Q4 '10,12.95
Q3 '10,7.56
Q2 '10,6.57
Q1 '10,7.13
Q4 '09,9.52
Q3 '09,5.45
Q2 '09,4.65
Q1 '09,4.89
Q4 '08,6.7
Q3 '08,4.26
Q2 '08,4.06
Q1 '08,4.14
Q4 '07,5.67
Q3 '07,3.26
Q2 '07,2.89
Q1 '07,3.02
