Baseball Team,Ticket price in U.S. dollars
Chicago Cubs,128
New York Yankees,121
Los Angeles Dodgers,112
St. Louis Cardinals,96
Boston Red Sox,94
Cleveland Indians,92
Washington Nationals,84
Oakland Athletics,76
Milwaukee Brewers,71
Philadelphia Phillies,68
Houston Astros,68
Colorado Rockies,67
Toronto Blue Jays**,66
Kansas City Royals,65
San Diego Padres,60
Seattle Mariners,60
Arizona Diamondbacks,59
Pittsburgh Pirates,58
Los Angeles Angels,58
Minnesota Twins,57
Atlanta Braves,56
Baltimore Orioles,56
Texas Rangers,54
San Francisco Giants,54
Chicago White Sox,53
Miami Marlins,51
Detroit Tigers,51
Cincinnati Reds,45
Tampa Bay Rays,43
New York Mets,37
