Golfer,Average points
Rory McIlroy (NIR),9.48
Jon Rahm (ESP),8.68
Brooks Koepka (USA),8.62
Justin Thomas (USA),7.62
Dustin Johnson (USA),6.72
Adam Scott (AUS),6.06
Patrick Cantley (USA),6.04
Patrick Reed (USA),5.93
Webb Simpson (USA),5.88
Tiger Woods (USA),5.81
Xander Schauffele (USA),5.62
Tommy Fleetwood (ENG),5.52
Justin Rose (ENG),5.3
Bryson DeChambeau (USA),5.1
Tony Finau (USA),4.88
Matt Kuchar (USA),4.63
Louis Oosthuizen (RSA),4.38
Gary Woodland (USA),4.36
Shane Lowry (IRE),4.33
Hideki Matsuyama (JPN),4.31
