Country,Index points
Iceland,95
Estonia,94
Canada,87
Germany,80
Australia,77
United States,77
United Kingdom,77
Armenia,76
France,76
Italy,75
Georgia,75
Japan,73
South Africa,72
Hungary,72
Argentina,72
Kenya,68
Colombia,67
Philippines,66
Tunisia,64
Brazil,64
Angola,64
Nigeria,64
South Korea,64
Ecuador,61
Kyrgyzstan,61
Mexico,60
Zambia,58
Malawi,57
Malaysia,57
Uganda,56
Singapore,56
Ukraine,56
India,55
Morocco,54
Lebanon,52
Indonesia,51
Sri Lanka,49
Libya,49
The Gambia,48
Jordan,47
Bangladesh,44
Cambodia,43
Zimbabwe,42
Rwanda,41
Azerbaijan,39
Turkey,37
Myanmar,36
Belarus,35
Thailand,35
Kazakhstan,32
Russia,31
Venezuela,30
Bahrain,29
Ethiopia,28
United Arab Emirates,28
Pakistan,26
Egypt,26
Uzbekistan,26
Saudi Arabia,25
Sudan,25
Vietnam,24
Cuba,22
Syria,17
Iran,15
China,10
