NBA Teams,Average ticket price in U.S. dollars
New York Knicks,129.38
Los Angeles Lakers,103.27
Chicago Bulls,82.33
Golden State Warriors,79.84
Los Angeles Clippers,79.83
Miami Heat,76.73
Houston Rockets,67.24
Boston Celtics,66.49
Brooklyn Nets,66.15
Phoenix Suns,56.1
Oklahoma City Thunder,55.1
San Antonio Spurs,54.88
Portland Trail Blazers,53.43
Denver Nuggets,52.38
Washington Wizards,51.21
Milwaukee Bucks,50.3
Dallas Mavericks,49.76
Cleveland Cavaliers,48.12
Toronto Raptors,48.11
Sacramento Kings,47.89
Utah Jazz,43.19
Orlando Magic,39.4
Indiana Pacers,38.97
Philadelphia 76ers,38.46
Minnesota Timberwolves,37.27
Atlanta Hawks,36.82
Memphis Grizzlies,31.48
Detroit Pistons,31.42
Charlotte Hornets,30.6
New Orleans Pelicans,30.2
