State,"Number of abortions per 1,000 women"
District of Columbia,30.2
New York,26.3
New Jersey,26.3
Maryland,25.0
Florida,18.6
Connecticut,17.7
Georgia,16.9
Rhode Island,16.7
Illinois,16.6
California,16.4
Nevada,16.4
North Carolina,14.6
Michigan,14.2
U.S. total,13.5
Massachusetts,13.5
Pennsylvania,13.1
Kansas,12.2
Washington,12.1
Hawaii,12.0
Oregon,11.9
New Mexico,11.7
Vermont,11.4
Colorado,10.9
Louisiana,10.6
Delaware,10.5
Virginia,10.2
Minnesota,10.1
Ohio,9.4
Texas,9.4
Arizona,9.2
Tennessee,9.2
New Hampshire,9.2
Maine,8.8
Alaska,8.6
Montana,8.3
North Dakota,7.9
Alabama,6.4
Iowa,6.3
Oklahoma,6.2
Indiana,5.9
Wisconsin,5.9
Arkansas,5.5
Nebraska,5.5
South Carolina,5.3
West Virginia,4.4
Utah,4.4
Mississippi,4.3
Missouri,4.0
Idaho,3.9
Kentucky,3.8
South Dakota,3.1
Wyoming,1.3
