Cash Machine Operator,Number of ATMs
Cardtronics,15402
NoteMachine,10428
NatWest,7151
PayPoint,3848
Barclays bank UK,3607
YourCash,3138
DC Payments,2996
Bank of Ireland,2492
Santander,2364
Lloyds bank,2170
Sainsbury's Bank,1850
Halifax,1781
HSBC,1598
Nationwide Building Society,1377
TSB Bank,786
Bank of Scotland,432
Travelex,362
Yorkshire Bank,306
Raphaels Bank,281
Clydesdale bank,229
Northern Bank,193
Moneycorp,138
AIB Group,73
Coventry Building Society,64
ChangeGroup,44
Cumberland Building Society,20
Barclays Bank,14
Citibank,4
G4S,4
