Cities in Canada,Number of residents in thousands
"Toronto, Ontario",6341.94
"Montréal, Quebec",4255.54
"Vancouver, British Columbia",2650.01
"Calgary, Alberta",1486.05
"Edmonton, Alberta",1420.92
"Ottawa-Gatineau, Ontario/Quebec",1414.4
"Winnipeg, Manitoba",832.19
"Québec, Quebec",817.41
"Hamilton, Ontario",786.64
"Kitchener-Cambridge-Waterloo, Ontario",567.74
"London, Ontario",532.98
"Halifax, Nova Scotia",430.51
"St. Catharines-Niagara, Ontario",429.04
"Oshawa, Ontario",405.63
"Victoria, British Columbia",395.52
"Windsor, Ontario",349.72
"Saskatoon, Saskatchewan",322.57
"Regina, Saskatchewan",257.34
"Sherbrooke, Quebec",218.8
"St. John's, Newfoundland and Labrador",212.5
"Kelowna, British Columbia",212.31
"Barrie, Ontario",210.8
"Abbotsford-Mission, British Columbia",196.01
"Kingston, Ontario",173.45
"Greater Sudbury, Ontario",171.47
"Guelph, Ontario",162.61
"Saguenay, Quebec",162.06
"Trois-Rivières, Quebec",159.08
"Moncton, New Brunswick",152.6
"Brantford, Ontario",147.55
"Peterborough, Ontario",131.28
"Saint John, New Brunswick",130.11
"Thunder Bay, Ontario",126.48
