Country,Number of hotel rooms
Italy,1086910
Germany,963339
Spain,924174
United Kingdom*,874285
France,660017
Turkey,445249
Greece,409873
Austria,291046
Poland,162512
Portugal,153971
Switzerland*,140331
Czech Republic,137318
Netherlands,124049
Bulgaria,123420
Romania,114389
Norway,87578
Croatia,79984
Hungary,73736
Ireland *,64643
Finland,59104
Belgium,58968
Denmark,46653
Cyprus,41805
Slovakia,40088
Slovenia,22908
Malta,18785
Estonia,16208
Iceland,14517
Lithuania,13965
Latvia,13045
Sweden,12948
Macedonia,9335
Luxembourg,7535
Liechtenstein,707
