Month,Net worth in billion U.S. dollars
Jeff Bezos & family (Amazon.com),131.0
Bill Gates (Microsoft),96.5
Warren Buffett (Berkshire Hathaway),82.5
Larry Ellison (Oracle),62.5
Mark Zuckerberg (Facebook),62.3
Michael Bloomberg (Bloomberg LP ),55.5
Larry Page (Google),50.8
Charles Koch (Koch Industries),50.5
David Koch (Koch Industries),50.5
Sergey Brin (Google),49.8
Jim Walton (Walmart),44.6
Alice Walton (Walmart),44.4
S. Robson Walton (Walmart),44.3
Steve Ballmer (Microsoft),41.2
Sheldon Adelson (Las Vegas Sands),35.1
Michael Dell (Dell Technologies),34.3
Phil Knight & family (Nike),33.4
Jacqueline Mars (Mars),23.9
John Mars (Mars),23.9
"Elon Musk (Tesla Motors, SpaceX)",22.3
