State,Debt as a percentage of State GDP
Kentucky,22.3%
New York,21.83%
Rhode Island,19.85%
Illinois,18.74%
Connecticut,18.63%
Alaska,18.28%
Massachusetts,17.94%
Hawaii,17.89%
South Carolina,17.51%
Texas,17.39%
Nevada,17.22%
Washington,16.88%
Kansas,16.85%
New Mexico,16.77%
California,16.58%
Pennsylvania,16.51%
Colorado,16.39%
New Jersey,16.29%
Oregon,15.68%
Missouri,15.45%
West Virginia,15.28%
North Dakota,15.23%
Louisiana,15.18%
Minnesota,15.09%
Vermont,14.76%
Wisconsin,14.38%
Arizona,14.37%
Michigan,14.25%
Alabama,14.24%
Maryland,13.83%
Florida,13.67%
Indiana,13.59%
Ohio,13.58%
Arkansas,13.28%
Mississippi,13.21%
Nebraska,13.18%
Virginia,12.95%
New Hampshire,12.87%
Maine,12.66%
South Dakota,12.56%
Utah,12.39%
Tennessee,12.31%
Montana,11.19%
District of Columbia,11.12%
Iowa,10.65%
Georgia,10.2%
Delaware,9.98%
Oklahoma,9.94%
North Carolina,8.78%
Idaho,8.32%
Wyoming,5.28%
