Country,Index value*
Norway,90.95
Denmark,90.09
Switzerland,89.89
Finland,89.56
Sweden,89.45
Iceland,89.29
New Zealand,88.93
Germany,88.84
Canada,88.81
Japan,88.34
Netherlands,88.31
Australia,88.02
United Kingdom,87.98
Ireland,87.97
France,87.79
Luxembourg,87.66
Spain,87.47
Portugal,87.12
Belgium,86.77
Austria,86.4
Slovenia,85.8
Italy,85.69
"Korea, Republic of",85.61
Czech Republic,84.36
Estonia,83.98
United States,83.62
Singapore,83.23
Cyprus,83.14
Malta,82.63
Greece,82.48
Israel,81.44
Lithuania,81.3
Poland,81.25
Costa Rica,80.65
Slovakia,80.43
Latvia,80.42
Chile,80.02
Croatia,79.21
Hungary,78.77
Barbados,77.89
Uruguay,77.77
Argentina,76.86
Bulgaria,76.17
Mauritius,74.88
Romania,74.81
Malaysia,74.17
Panama,73.96
Belarus,73.9
Brazil,72.87
Jamaica,72.58
