Countries,Price level index (U.S. = 100)
Switzerland,127.7
Denmark,120.3
Norway,112.2
Finland,110.8
Australia,108.8
New Zealand,104.9
Sweden,103.4
Austria,101.9
United States,100.0
Belgium,99.9
Ireland,99.7
United Kingdom,97.2
Netherlands,97.1
France,96.6
Germany,94.7
Canada,93.8
Japan,89.8
Italy,89.2
Spain,78.8
Argentina,78.6
South Korea,77.2
Hong Kong,75.5
Portugal,74.7
Greece,72.3
Singapore,64.8
Czech Republic Emirates,63.6
United Arab,58.7
Brazil,58.2
China,55.5
Poland,50.3
South Africa,49.5
Mexico,48.2
Saudi Arabia,42.1
Turkey,39.3
Russia,38.8
Bangladesh,37.7
Malaysia,36.6
Philippines,35.0
Nigeria,30.7
Indonesia,30.5
India,27.1
Egypt,19.3
