Quarter,Revenue in billion euros
Q4 '19,8.04
Q3 '19,6.79
Q2 '19,6.63
Q1 '19,6.09
Q4 '18,7.43
Q3 '18,6.02
Q2 '18,6.0
Q1 '18,5.26
Q4 '17,6.81
Q3 '17,5.59
Q2 '17,5.78
Q1 '17,5.29
Q4 '16,6.72
Q3 '16,5.38
Q2 '16,5.24
Q1 '16,4.73
Q4 '15,6.34
Q3 '15,4.99
Q2 '15,4.97
Q1 '15,4.5
Q4 '14,5.46
Q3 '14,4.25
Q2 '14,4.15
Q1 '14,3.7
Q4 '13,5.11
Q3 '13,4.05
Q2 '13,4.06
Q1 '13,3.6
Q4 '12,5.02
Q3 '12,3.95
Q2 '12,3.9
Q1 '12,3.35
Q4 '11,4.5
Q3 '11,3.41
Q2 '11,3.3
Q1 '11,3.02
Q4 '10,4.06
Q3 '10,3.0
Q2 '10,2.89
Q1 '10,2.51
Q4 '09,3.19
Q3 '09,2.51
Q2 '09,2.58
Q1 '09,2.4
Q4 '08,3.49
Q3 '08,2.76
Q2 '08,2.86
Q1 '08,2.46
