State,Registrations in units
California,842543
Florida,586267
Ohio,410187
New York,392178
Pennsylvania,377158
Texas,364690
Illinois,333943
Wisconsin,324670
Montana,306655
Michigan,258487
Indiana***,250579
Minnesota,241556
Washington,231401
Georgia,203922
Iowa,194603
Virginia,193951
Colorado,190002
North Carolina,188843
Massachusetts**,168931
Tennessee,165968
Arizona,164055
New Jersey,152979
Oregon,142738
Missouri,138294
Oklahoma,136190
Maryland,118277
South Carolina,118132
South Dakota,117461
Louisiana,113664
Alabama,112185
Kentucky,101163
Kansas,95892
Connecticut,90131
Arkansas,89457
Utah,83993
New Hampshire,78798
Nevada,76032
Idaho,63297
West Virginia,60582
New Mexico,57718
Nebraska,55736
North Dakota,51941
Maine,51467
Hawaii,35576
Alaska**,31859
Vermont,30955
Rhode Island,30914
Wyoming,28960
Mississippi,28124
Delaware,27810
Dist. of Col.,4290
