Month,Price in GBP
"Jun 26, 2015",7.48
"May 29, 2015",7.67
"Apr 24, 2015",7.74
"Mar 27, 2015",7.25
"Feb 27, 2015",7.43
"Jan 30, 2015",7.92
"Dec 26, 2014",8.48
"Nov 28, 2014",8.01
"Oct 31, 2014",8.28
"Sep 26, 2014",8.55
"Aug 29, 2014",7.49
"Jul 25, 2014",7.2
"Jun 25, 2014",7.2
"May 30, 2014",7.39
"Apr 23, 2014",7.38
"Mar 28, 2014",7.26
"Feb 28, 2014",7.35
"Jan 31, 2014",7.38
"Dec 13, 2013",8.27
"Nov 29, 2013",8.28
"Oct 25, 2013",8.02
"Sep 27, 2013",8.93
"Aug 30, 2013",7.95
"July 26, 2013",7.12
"June 28, 2013",7.24
"May 31, 2013",7.31
"Apr 26, 2013",7.5
"Mar 29, 2013",7.49
"Feb 22, 2013",6.76
"Jan 25, 2013",6.74
"Dec 28, 2012",8.19
"Nov 30, 2012",8.6
"Oct 26, 2012",7.75
