Baseball Teams,Hot dog price in U.S. dollars
Washington Nationals,7.0
New York Mets,6.75
Los Angeles Dodgers,6.75
Chicago Cubs,6.5
San Francisco Giants,6.5
Seattle Mariners,6.5
Texas Rangers,6.0
Milwaukee Brewers,6.0
Kansas City Royals,5.75
Oakland Athletics,5.75
Houston Astros,5.5
Colorado Rockies,5.5
Cincinnati Reds,5.5
Boston Red Sox,5.25
San Diego Padres,5.25
Los Angeles Angels,5.0
Tampa Bay Rays,5.0
Detroit Tigers,5.0
St. Louis Cardinals,5.0
MLB league average,4.95
Chicago White Sox,4.5
Atlanta Braves,4.25
Cleveland Indians,4.25
Toronto Blue Jays,4.13
Minnesota Twins,4.0
Philadelphia Phillies,4.0
Pittsburgh Pirates,3.5
New York Yankees,3.0
Miami Marlins,3.0
Arizona Diamondbacks,2.0
Baltimore Orioles,1.5
