Country,Active social media penetration
Albania,51%
Andorra,65%
Austria,50%
Belarus,40%
Belgium,65%
Bosnia & Herzegovina,49%
Bulgaria,54%
Croatia,48%
Czechia,54%
Denmark,71%
Estonia,57%
Finland,59%
France,58%
Germany,46%
Gibraltar,72%
Greece,54%
Guernsey,58%
Hungary,62%
Iceland,83%
Republic of Ireland,66%
Italy,59%
Kosovo,40%
Latvia,51%
Liechtenstein,44%
Lithuania,59%
Luxembourg,62%
Malta,88%
Moldova,30%
Monaco,99%
Montenegro,60%
Netherlands,64%
Norway,71%
Poland,47%
Portugal,65%
Romania,56%
Serbia,43%
Slovakia,50%
Slovenia,53%
Spain,60%
Sweden,72%
Switzerland,51%
The Faroe Islands,75%
Ukraine,39%
United Kingdom (UK),67%
