Month,Retail sales value in billion GBP
Sep 19,41.02
Aug 19,39.94
Jul 19,34.02
Jun 19,41.56
May 19,33.05
Apr 19,32.87
Mar 19,39.84
Feb 19,30.52
Jan 19,29.47
Dec 18,51.03
Nov 18,37.31
Oct 18,32.96
Sep 18,39.64
Aug 18,31.89
Jul 18,32.64
Jun 18,39.91
May 18,32.26
Apr 18,30.64
Mar 18,37.75
Feb 18,29.25
Jan 18,28.42
Dec 17,49.72
Nov 17,35.63
Oct 17,31.76
Sep 17,37.81
Aug 17,30.19
Jul 17,30.73
Jun 17,37.87
May 17,30.3
Apr 17,30.44
Mar 17,35.99
Feb 17,28.07
Jan 17,27.25
Dec 16,47.54
Nov 16,34.09
Oct 16,30.8
Sep 16,36.12
Aug 16,28.66
Jul 16,29.64
Jun 16,35.95
May 16,29.09
Apr 16,28.14
Mar 16,34.46
Feb 16,26.62
Jan 16,26.59
Dec 15,44.38
Nov 15,32.14
Oct 15,28.9
Sep 15,35.05
Aug 15,27.46
Jul 15,28.59
Jun 15,35.7
May 15,28.27
Apr 15,27.64
Mar 15,34.44
Feb 15,26.23
Jan 15,26.02
