Year,Light vehicle sales in thousands
2019,16965.2
2018,17213.5
2017,17136.4
2016,17464.8
2015,17396.3
2014,16452.2
2013,15530.1
2012,14433.2
2011,12741.8
2010,11554.8
2009,10402.3
2008,13194.8
2007,16089.0
2006,16504.1
2005,16948.2
2004,16866.9
2003,16639.1
2002,16816.2
2001,17122.4
2000,17349.7
1999,16893.7
1998,15543.0
1997,15121.9
1996,15097.1
1995,14728.4
1994,15044.9
1993,13882.7
1992,12857.3
1991,12309.4
1990,13859.7
1989,14520.7
1988,15443.2
1987,14875.1
1986,16044.3
1985,15425.1
1984,14205.1
1983,12107.1
1982,10357.3
1981,10563.6
1980,11197.5
1979,13758.4
1978,14981.0
